Fichier;Titre_actuel;Auteur_actuel;Score;Confiance;Règles;Titre_corrigé;Auteur_corrigé
Trois Don Juan, Les - Guillaume Apollinaire.epub;Apollinaire, Guillaume;Trois Don Juan, Les;290;CERTAIN;Format 'Nom, Prénom' dans le TITRE | Auteur connu trouvé dans le TITRE | Article défini en fin d'AUTEUR | Nom d'auteur connu 'Apollinaire' dans TITRE;Trois Don Juan, Les;Apollinaire, Guillaume
Désolations - David Vann.epub;Vann, David;Désolations;270;CERTAIN;Format 'Nom, Prénom' dans le TITRE | Auteur connu trouvé dans le TITRE | Auteur n'est pas au format standard | Nom d'auteur connu 'Vann' dans TITRE;Désolations;Vann, David
Hamaguri - Aki Shimazaki.epub;Shimazaki, Aki;Hamaguri;270;CERTAIN;Format 'Nom, Prénom' dans le TITRE | Auteur connu trouvé dans le TITRE | Auteur n'est pas au format standard | Nom d'auteur connu 'Shimazaki' dans TITRE;Hamaguri;Shimazaki, Aki
Dumas,Alexandre {père} [-082] Ange Pitou - Tome 2 (1851) french.zzz.epub;Dumas,Alexandre;Ange Pitou - Tome 2;110;CERTAIN;Auteur n'est pas au format standard | Chiffres dans AUTEUR | Mots-clés de titre dans AUTEUR;Ange Pitou - Tome 2;Dumas,Alexandre
Profanes - Jeanne Benameur.epub;Benameur, Jeanne;Profanes;270;CERTAIN;Format 'Nom, Prénom' dans le TITRE | Auteur connu trouvé dans le TITRE | Auteur n'est pas au format standard | Nom d'auteur connu 'Benameur' dans TITRE;Profanes;Benameur, Jeanne
Gens de Holt County, Les - Kent Haruf.epub;Haruf, Kent;Gens de Holt County, Les;130;CERTAIN;Format 'Nom, Prénom' dans le TITRE | Article défini en fin d'AUTEUR;Gens de Holt County, Les;Haruf, Kent
Ils vont tuer Robert Kennedy - Marc Dugain.epub;Dugain, Marc;Ils vont tuer Robert Kennedy;270;CERTAIN;Format 'Nom, Prénom' dans le TITRE | Auteur connu trouvé dans le TITRE | Auteur n'est pas au format standard | Nom d'auteur connu 'Dugain' dans TITRE;Ils vont tuer Robert Kennedy;Dugain, Marc
Tempête sur Armen - Jean-Jacques Antier.epub;Antier, Jean-Jacques;Tempête sur Armen;270;CERTAIN;Format 'Nom, Prénom' dans le TITRE | Auteur connu trouvé dans le TITRE | Auteur n'est pas au format standard | Nom d'auteur connu 'Antier' dans TITRE;Tempête sur Armen;Antier, Jean-Jacques
Grace l'intrépide - Karine Miermont.epub;Miermont, Karine;Grace l'intrépide;110;CERTAIN;Format 'Nom, Prénom' dans le TITRE | Auteur n'est pas au format standard;Grace l'intrépide;Miermont, Karine
Conscience . - Primary Source Edition - Hector Malot.epub;Malot, Hector;Primary Source Edition;270;CERTAIN;Format 'Nom, Prénom' dans le TITRE | Auteur connu trouvé dans le TITRE | Auteur n'est pas au format standard | Nom d'auteur connu 'Malot' dans TITRE;Primary Source Edition;Malot, Hector
C'était ainsi_. - Cyriel Buysse.epub;Buysse, Cyriel;C'était ainsi_.;110;CERTAIN;Format 'Nom, Prénom' dans le TITRE | Auteur n'est pas au format standard;C'était ainsi_.;Buysse, Cyriel
Faire Charlemagne - Patrice Delbourg.epub;Delbourg, Patrice;Faire Charlemagne;270;CERTAIN;Format 'Nom, Prénom' dans le TITRE | Auteur connu trouvé dans le TITRE | Auteur n'est pas au format standard | Nom d'auteur connu 'Delbourg' dans TITRE;Faire Charlemagne;Delbourg, Patrice
Visages, Les - Jesse Kellerman.epub;Kellerman, Jesse;Visages, Les;190;CERTAIN;Format 'Nom, Prénom' dans le TITRE | Article défini en fin d'AUTEUR | Nom d'auteur connu 'Kellerman' dans TITRE;Visages, Les;Kellerman, Jesse
Batouala - René Maran.epub;Maran, René;Batouala;270;CERTAIN;Format 'Nom, Prénom' dans le TITRE | Auteur connu trouvé dans le TITRE | Auteur n'est pas au format standard | Nom d'auteur connu 'Maran' dans TITRE;Batouala;Maran, René
Cerisaie, La - Anton Pavlovitch Tchekhov.epub;Tchekhov, Anton Pavlovitch;Cerisaie, La;290;CERTAIN;Format 'Nom, Prénom' dans le TITRE | Auteur connu trouvé dans le TITRE | Article défini en fin d'AUTEUR | Nom d'auteur connu 'Tchekhov' dans TITRE;Cerisaie, La;Tchekhov, Anton Pavlovitch
Jesus' Son - Denis Johnson.epub;Johnson, Denis;Jesus' Son;170;CERTAIN;Format 'Nom, Prénom' dans le TITRE | Auteur n'est pas au format standard | Nom d'auteur connu 'Johnson' dans TITRE;Jesus' Son;Johnson, Denis
Phrase urbaine, La - Jean-Christophe Bailly.epub;Bailly, Jean-Christophe;Phrase urbaine, La;290;CERTAIN;Format 'Nom, Prénom' dans le TITRE | Auteur connu trouvé dans le TITRE | Article défini en fin d'AUTEUR | Nom d'auteur connu 'Bailly' dans TITRE;Phrase urbaine, La;Bailly, Jean-Christophe
Vase Etrusque, Le - Prosper Mérimée.epub;Mérimée, Prosper;Vase Etrusque, Le;290;CERTAIN;Format 'Nom, Prénom' dans le TITRE | Auteur connu trouvé dans le TITRE | Article défini en fin d'AUTEUR | Nom d'auteur connu 'Mérimée' dans TITRE;Vase Etrusque, Le;Mérimée, Prosper
Particules Elementaires, Les - Michel Houellebecq.epub;Houellebecq, Michel;Particules Elementaires, Les;290;CERTAIN;Format 'Nom, Prénom' dans le TITRE | Auteur connu trouvé dans le TITRE | Article défini en fin d'AUTEUR | Nom d'auteur connu 'Houellebecq' dans TITRE;Particules Elementaires, Les;Houellebecq, Michel
Camus,Albert [Actuelles 3] Chroniques Algériennes, 1939-1958.epub;Camus,Albert;Chroniques Algériennes, 1939-1958;100;CERTAIN;Chiffres dans AUTEUR | Nom d'auteur connu 'Camus' dans TITRE;Chroniques Algériennes, 1939-1958;Camus,Albert
