Fichier;Titre_actuel;Auteur_actuel;Score;Confiance;Règles;Titre_corrigé;Auteur_corrigé
Herbert,James [-02] Fog (1975) french.Alex.epub;Herbert,James;Fog;90;PROBABLE;Auteur n'est pas au format standard | Nom d'auteur connu 'Herbert' dans TITRE;Fog;Herbert,James
Mérimée,Prosper [] Carmen (1847) french.zzz.epub;Mérimée,Prosper;Carmen;90;PROBABLE;Auteur n'est pas au format standard | Nom d'auteur connu 'Mérimée' dans TITRE;Carmen;Mérimée,Prosper
Ferrand,Franck [La cour des dames-3] Madame Catherine.epub;Ferrand,Franck;Madame Catherine;90;PROBABLE;Auteur n'est pas au format standard | Nom d'auteur connu 'Ferrand' dans TITRE;Madame Catherine;Ferrand,Franck
Roberts,Nora [Lieutenant Eve Dallas-16] Portrait du crime (2003) french.zzz.epub;Roberts,Nora;Portrait du crime;90;PROBABLE;Auteur n'est pas au format standard | Nom d'auteur connu 'Roberts' dans TITRE;Portrait du crime;Roberts,Nora
Wilson,Robert Charles [-02] Ange mémoire (1987) french.Alex.epub;Wilson,Robert Charles;Ange mémoire;90;PROBABLE;Auteur n'est pas au format standard | Nom d'auteur connu 'Wilson' dans TITRE;Ange mémoire;Wilson,Robert Charles
Wilson,Robert Charles [Spin-01] Spin (2005) Science-fiction .A.epub;Wilson,Robert Charles;Spin;90;PROBABLE;Auteur n'est pas au format standard | Nom d'auteur connu 'Wilson' dans TITRE;Spin;Wilson,Robert Charles
Guieu,Jimmy [-126-Les chevaliers de lumière-38] Rosslyn la crypte des templiers (.) Science-fiction .Z.epub;Guieu,Jimmy;Rosslyn la crypte des templiers (.);90;PROBABLE;Auteur n'est pas au format standard | Nom d'auteur connu 'Guieu' dans TITRE;Rosslyn la crypte des templiers (.);Guieu,Jimmy
Block,Lawrence [Matt Scudder-14] Ils y passeront tous (1998) french.zzz.epub;Block,Lawrence;Ils y passeront tous;90;PROBABLE;Auteur n'est pas au format standard | Nom d'auteur connu 'Block' dans TITRE;Ils y passeront tous;Block,Lawrence
Harrison,Kim [Rachel Morgan-05] Et pour quelques démons de plus (.) Fantasy-actuelle .Z.epub;Harrison,Kim;Et pour quelques démons de plus (.) Fantasy-actuelle .Z;90;PROBABLE;Auteur n'est pas au format standard | Nom d'auteur connu 'Harrison' dans TITRE;Et pour quelques démons de plus (.) Fantasy-actuelle .Z;Harrison,Kim
Roberts,Nora [Lieutenant Eve Dallas-17] Imitation du crime (2003) french.zzz.epub;Roberts,Nora;Imitation du crime;90;PROBABLE;Auteur n'est pas au format standard | Nom d'auteur connu 'Roberts' dans TITRE;Imitation du crime;Roberts,Nora
Nothomb,Amélie [R-06] Attentat (1997) french.zzz.epub;Nothomb,Amélie;Attentat;90;PROBABLE;Auteur n'est pas au format standard | Nom d'auteur connu 'Nothomb' dans TITRE;Attentat;Nothomb,Amélie
Hamilton,Peter F. [Etoile de Pandore-01] Pandore abusée (2004) french.Alex.epub;Hamilton,Peter F.;Pandore abusée;90;PROBABLE;Auteur n'est pas au format standard | Nom d'auteur connu 'Hamilton' dans TITRE;Pandore abusée;Hamilton,Peter F.
Simenon,Georges [Maigret-03] Monsieur Gallet, décédé (1931) french.Alex.epub;Simenon,Georges;Monsieur Gallet, décédé;60;PROBABLE;Nom d'auteur connu 'Simenon' dans TITRE;Monsieur Gallet, décédé;Simenon,Georges
Verlaine,Paul [] Poèmes Saturniens (1867) french.zzz.epub;Verlaine,Paul;Poèmes Saturniens;90;PROBABLE;Auteur n'est pas au format standard | Nom d'auteur connu 'Verlaine' dans TITRE;Poèmes Saturniens;Verlaine,Paul
Brussolo,Serge [-025] Enfer vertical (en approche rapide) (1986) Science-fiction .Z.epub;Brussolo,Serge;Enfer vertical (en approche rapide);90;PROBABLE;Auteur n'est pas au format standard | Nom d'auteur connu 'Brussolo' dans TITRE;Enfer vertical (en approche rapide);Brussolo,Serge
Randa,Peter {Duquesne,André} [] Humains de nulle part (1963) Science-fiction .Z.epub;Randa,Peter;Humains de nulle part;90;PROBABLE;Auteur n'est pas au format standard | Nom d'auteur connu 'Randa' dans TITRE;Humains de nulle part;Randa,Peter
Queneau,Raymond [R-08] Pierrot mon ami (1942) french.zzz.epub;Queneau,Raymond;Pierrot mon ami;90;PROBABLE;Auteur n'est pas au format standard | Nom d'auteur connu 'Queneau' dans TITRE;Pierrot mon ami;Queneau,Raymond
Djian,Philippe [R-05] Echine (1988) french.zzz.epub;Djian,Philippe;Echine;90;PROBABLE;Auteur n'est pas au format standard | Nom d'auteur connu 'Djian' dans TITRE;Echine;Djian,Philippe
Lamb,Charlotte [] Cet abîme entre nous.epub;Lamb,Charlotte;Cet abîme entre nous;90;PROBABLE;Auteur n'est pas au format standard | Nom d'auteur connu 'Lamb' dans TITRE;Cet abîme entre nous;Lamb,Charlotte
Ormesson,Jean d' [] Presque rien du tout.epub;Ormesson,Jean d';Presque rien du tout;90;PROBABLE;Auteur n'est pas au format standard | Nom d'auteur connu 'Ormesson' dans TITRE;Presque rien du tout;Ormesson,Jean d'
Mahfouz,Naguib [] Akhenaton le renegat (1985) french.Alex.epub;Mahfouz,Naguib;Akhenaton le renegat;90;PROBABLE;Auteur n'est pas au format standard | Nom d'auteur connu 'Mahfouz' dans TITRE;Akhenaton le renegat;Mahfouz,Naguib
Archer,Alex [Rogue Angel-11] Provenance.epub;Archer,Alex;Provenance;90;PROBABLE;Auteur n'est pas au format standard | Nom d'auteur connu 'Archer' dans TITRE;Provenance;Archer,Alex
Balzac,Honoré de [-2-Vie de province-02] Eugénie Grandet (1833) french.zzz.epub;Balzac,Honoré de;Eugénie Grandet;90;PROBABLE;Auteur n'est pas au format standard | Nom d'auteur connu 'Balzac' dans TITRE;Eugénie Grandet;Balzac,Honoré de
Allais,Alphonse [] Deux et deux font cinq (1895) french.feed.epub;Allais,Alphonse;Deux et deux font cinq;90;PROBABLE;Auteur n'est pas au format standard | Nom d'auteur connu 'Allais' dans TITRE;Deux et deux font cinq;Allais,Alphonse
Foenkinos,David [-07] Nos séparations (2008) french.zzz.epub;Foenkinos,David;Nos séparations;90;PROBABLE;Auteur n'est pas au format standard | Nom d'auteur connu 'Foenkinos' dans TITRE;Nos séparations;Foenkinos,David
Tanizaki,Junichirô [] Svastika (1930) french.zzz.epub;Tanizaki,Junichirô;Svastika;90;PROBABLE;Auteur n'est pas au format standard | Nom d'auteur connu 'Tanizaki' dans TITRE;Svastika;Tanizaki,Junichirô
Guieu,Jimmy [-017-Jean Kariven-05] Opération Aphrodite (1955) Science-fiction .Z.epub;Guieu,Jimmy;Opération Aphrodite;90;PROBABLE;Auteur n'est pas au format standard | Nom d'auteur connu 'Guieu' dans TITRE;Opération Aphrodite;Guieu,Jimmy
Sylvain,Dominique [Ingrid et Lola-03] Manta Corridor (2006) french.zzz.epub;Sylvain,Dominique;Manta Corridor;90;PROBABLE;Auteur n'est pas au format standard | Nom d'auteur connu 'Sylvain' dans TITRE;Manta Corridor;Sylvain,Dominique
Guieu,Jimmy [-085] Echec aux Végans (.) Science-fiction .Z.epub;Guieu,Jimmy;Echec aux Végans (.);90;PROBABLE;Auteur n'est pas au format standard | Nom d'auteur connu 'Guieu' dans TITRE;Echec aux Végans (.);Guieu,Jimmy
Modèle epub 15_12_2013 - Régis Jauffret.epub;Régis Jauffret;Modèle epub 15_12_2013;70;PROBABLE;Auteur n'est pas au format standard | Chiffres dans AUTEUR;Modèle epub 15_12_2013;Régis Jauffret
Guieu,Jimmy [-030] Refuge cosmique.epub;Guieu,Jimmy;Refuge cosmique;90;PROBABLE;Auteur n'est pas au format standard | Nom d'auteur connu 'Guieu' dans TITRE;Refuge cosmique;Guieu,Jimmy
Cesbron,Gilbert [] Entre chiens et loups.epub;Cesbron,Gilbert;Entre chiens et loups;90;PROBABLE;Auteur n'est pas au format standard | Nom d'auteur connu 'Cesbron' dans TITRE;Entre chiens et loups;Cesbron,Gilbert
King,Stephen [] Sac d'os.epub;King,Stephen;Sac d'os;90;PROBABLE;Auteur n'est pas au format standard | Nom d'auteur connu 'King' dans TITRE;Sac d'os;King,Stephen
légende des quatre soldats (Tome 4) - Le Revenant, La - Elizabeth Hoyt.epub;Elizabeth Hoyt;Le Revenant, La;80;PROBABLE;Auteur n'est pas au format standard | Article défini en fin d'AUTEUR;Le Revenant, La;Elizabeth Hoyt
Farmer,Philip José [Un exorcisme-01] Comme une bête (1968) french.Alex.epub;Farmer,Philip José;Comme une bête;90;PROBABLE;Auteur n'est pas au format standard | Nom d'auteur connu 'Farmer' dans TITRE;Comme une bête;Farmer,Philip José
Zola,Emile [Les quatre Evangiles-2] Travail (1901) french.zzz.epub;Zola,Emile;Travail;90;PROBABLE;Auteur n'est pas au format standard | Nom d'auteur connu 'Zola' dans TITRE;Travail;Zola,Emile
Descartes _ Oeuvres complètes - Descartes.epub;Descartes;Descartes _ Oeuvres complètes;70;PROBABLE;Auteur n'est pas au format standard | Mots-clés de titre dans AUTEUR;Descartes _ Oeuvres complètes;Descartes
Harris,Charlaine [] Crimes au clair de lune.epub;Harris,Charlaine;Crimes au clair de lune;90;PROBABLE;Auteur n'est pas au format standard | Nom d'auteur connu 'Harris' dans TITRE;Crimes au clair de lune;Harris,Charlaine
Christie,Agatha [N-10] Trois souris (1948) french.Alex.epub;Christie,Agatha;Trois souris;90;PROBABLE;Auteur n'est pas au format standard | Nom d'auteur connu 'Christie' dans TITRE;Trois souris;Christie,Agatha
Roberts,Nora [Lieutenant Eve Dallas-22] Souvenir du crime (2006) french.zzz.epub;Roberts,Nora;Souvenir du crime;90;PROBABLE;Auteur n'est pas au format standard | Nom d'auteur connu 'Roberts' dans TITRE;Souvenir du crime;Roberts,Nora
Guieu,Jimmy [-069-Les chevaliers de lumière-15] Manipulation psi (.) Science-fiction .Z.epub;Guieu,Jimmy;Manipulation psi (.);90;PROBABLE;Auteur n'est pas au format standard | Nom d'auteur connu 'Guieu' dans TITRE;Manipulation psi (.);Guieu,Jimmy
Gautier,Théophile [] Jean et Jeannette (1848) french.zzz.epub;Gautier,Théophile;Jean et Jeannette;90;PROBABLE;Auteur n'est pas au format standard | Nom d'auteur connu 'Gautier' dans TITRE;Jean et Jeannette;Gautier,Théophile
livre de l'intranquillité - Vol 1, Le - Fernando Pessoa.epub;Fernando Pessoa;Vol 1, Le;90;PROBABLE;Article défini en fin d'AUTEUR | Chiffres dans AUTEUR;Vol 1, Le;Fernando Pessoa
Follett,Ken [] Code zéro (2000) french.Alex.epub;Follett,Ken;Code zéro;90;PROBABLE;Auteur n'est pas au format standard | Nom d'auteur connu 'Follett' dans TITRE;Code zéro;Follett,Ken
Mirbeau,Octave [R-03] Sébastien Roch (1890) french.zzz.epub;Mirbeau,Octave;Sébastien Roch;90;PROBABLE;Auteur n'est pas au format standard | Nom d'auteur connu 'Mirbeau' dans TITRE;Sébastien Roch;Mirbeau,Octave
